source_role,target_role,similarity_score,transition_probability,shared_skills,cluster_affinity,centrality_score,evidence
Aprendiz en Desarrollo de Software,Ejecutivo Comercial TI,1.0,0.853,"[""APIs"", ""AWS"", ""Agile"", ""Azure"", ""Python"", ""compliance"", ""comunicacion"", ""gestion de stakeholders""]",Enterprise Analytics,0.57,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Ejecutivo Comercial TI""]}"
Aprendiz en Desarrollo de Software,Técnico de Soporte,1.0,0.853,"[""AWS"", ""BI"", ""Oracle"", ""compliance"", ""comunicacion"", ""reporting"", ""security""]",Enterprise Analytics,0.56,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Técnico de Soporte""]}"
Aprendiz en Desarrollo de Software,Administrador Linux,1.0,0.853,"[""AWS"", ""Azure"", ""BI"", ""compliance"", ""comunicacion"", ""data governance"", ""reporting"", ""security""]",Governance & Quality,0.56,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Administrador Linux""]}"
Aprendiz en Desarrollo de Software,Desarrollador Backend .NET Senior (hibrido),1.0,0.853,"[""APIs"", ""AWS"", ""Agile"", ""Azure"", ""BI"", ""GCP"", ""Oracle"", ""Python""]",Governance & Quality,0.56,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Desarrollador Backend .NET Senior (hibrido)""]}"
Aprendiz en Desarrollo de Software,CS3 SAS,1.0,0.853,"[""APIs"", ""Azure"", ""MongoDB"", ""comunicacion"", ""reporting"", ""security""]",Enterprise Analytics,0.56,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""CS3 SAS""]}"
Aprendiz en Desarrollo de Software,Administrador de Aplicaciones (Oracle / WebLogic / Middleware),1.0,0.853,"[""APIs"", ""AWS"", ""Agile"", ""Azure"", ""GCP"", ""Oracle"", ""Python"", ""compliance""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Administrador de Aplicaciones (Oracle / WebLogic / Middleware)""]}"
Aprendiz en Desarrollo de Software,Ingeniero Preventa - Administrador de Plataforma,1.0,0.853,"[""AWS"", ""Azure"", ""BI"", ""Python"", ""compliance"", ""comunicacion"", ""gestion de stakeholders"", ""liderazgo""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Ingeniero Preventa - Administrador de Plataforma""]}"
Aprendiz en Desarrollo de Software,Ingeniero de Soporte Infraestructura Junior,1.0,0.853,"[""AWS"", ""Agile"", ""Azure"", ""BI"", ""GCP"", ""MongoDB"", ""Python"", ""compliance""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Ingeniero de Soporte Infraestructura Junior""]}"
Aprendiz en Desarrollo de Software,Analista Funcional de Procesos de Software,1.0,0.853,"[""APIs"", ""AWS"", ""Agile"", ""Azure"", ""Oracle"", ""Python"", ""comunicacion"", ""gestion de stakeholders""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Analista Funcional de Procesos de Software""]}"
Aprendiz en Desarrollo de Software,Especialista IA,1.0,0.853,"[""APIs"", ""AWS"", ""Agile"", ""Azure"", ""GCP"", ""Python"", ""compliance"", ""comunicacion""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Especialista IA""]}"
Aprendiz en Desarrollo de Software,Administrador de Bases de Datos (DBA),1.0,0.853,"[""APIs"", ""AWS"", ""Azure"", ""MongoDB"", ""Oracle"", ""compliance"", ""comunicacion"", ""security""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Administrador de Bases de Datos (DBA)""]}"
Aprendiz en Desarrollo de Software,Confidencial2,1.0,0.853,"[""Azure"", ""compliance"", ""comunicacion"", ""reporting"", ""security""]",Governance & Quality,0.35,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Aprendiz en Desarrollo de Software"", ""Confidencial2""]}"
