metric_name,metric_category,metric_value,metric_period,confidence_score,generated_at,source_payload
top_hiring_company_3,companies,0.2,2026-05,0.8999999999999999,2026-05-28T23:29:17.619561+00:00,"{""company"": ""CS3"", ""dominant_skills"": [""comunicacion"", ""APIs"", ""trabajo en equipo"", ""Azure"", ""security"", ""pensamiento analitico"", ""reporting"", ""AWS"", ""Oracle"", ""ETL""], ""dominant_clusters"": [""BI & Visualization"", ""AI Analytics"", ""Cloud Analytics"", ""Analytics Engineering""], ""technology_maturity"": ""growing"", ""ai_adoption_score"": 0.2404, ""bi_maturity_score"": 0.0769, ""cloud_maturity_score"": 0.1923}"
top_hiring_company_4,companies,0.1,2026-05,0.8999999999999999,2026-05-28T23:29:17.619561+00:00,"{""company"": ""Venta Equipos"", ""dominant_skills"": [""ITIL"", ""trabajo en equipo"", ""resolucion de problemas"", ""comunicacion"", ""compliance"", ""Python"", ""Agile"", ""security"", ""SQL Server"", ""SQL""], ""dominant_clusters"": [""Cloud Analytics"", ""Governance & Quality""], ""technology_maturity"": ""growing"", ""ai_adoption_score"": 0.0, ""bi_maturity_score"": 0.2963, ""cloud_maturity_score"": 0.2222}"
top_hiring_company_5,companies,0.1,2026-05,0.8999999999999999,2026-05-28T23:29:17.619561+00:00,"{""company"": ""TICXAR"", ""dominant_skills"": [""Scrum"", ""APIs"", ""Python"", ""pandas"", ""scikit-learn"", ""comunicacion"", ""ingles"", ""MLflow"", ""liderazgo"", ""AWS""], ""dominant_clusters"": [""AI Analytics""], ""technology_maturity"": ""growing"", ""ai_adoption_score"": 0.5952, ""bi_maturity_score"": 0.1905, ""cloud_maturity_score"": 0.1905}"
semantic_role_growth_1,roles,0.62,2026-05,0.8846,2026-05-28T23:29:17.619561+00:00,"{""role_title"": ""Administrador de Servidores de Aplicaciones"", ""role_family"": ""AI Analytics"", ""cluster"": ""AI Analytics"", ""equivalent_roles"": [""CS3 SAS"", ""Ingeniero Preventa - Administrador de Plataforma"", ""Analista Funcional de Procesos de Software"", ""Administrador de Bases de Datos (DBA)"", ""Técnico de Soporte"", ""Ingeniero de Soporte Infraestructura Junior"", ""Indra Colombia LTDA"", ""Administrador Linux""]}"
semantic_role_growth_2,roles,0.58,2026-05,0.89,2026-05-28T23:29:17.619561+00:00,"{""role_title"": ""Aprendiz en Desarrollo de Software"", ""role_family"": ""Governance & Quality"", ""cluster"": ""Governance & Quality"", ""equivalent_roles"": [""Ingeniero Preventa - Administrador de Plataforma"", ""Analista Funcional de Procesos de Software"", ""Técnico de Soporte"", ""Ingeniero de Soporte Infraestructura Junior"", ""Administrador Linux"", ""Desarrollador Backend .NET Senior (hibrido)"", ""Administrador de Aplicaciones (Oracle / WebLogic / Middleware)"", ""Especialista IA""]}"
semantic_role_growth_3,roles,0.56,2026-05,0.87725,2026-05-28T23:29:17.619561+00:00,"{""role_title"": ""Ejecutivo Comercial TI"", ""role_family"": ""AI Analytics"", ""cluster"": ""AI Analytics"", ""equivalent_roles"": [""Ingeniero Preventa - Administrador de Plataforma"", ""Analista Funcional de Procesos de Software"", ""Indra Colombia LTDA"", ""Desarrollador Backend .NET Senior (hibrido)"", ""Administrador de Aplicaciones (Oracle / WebLogic / Middleware)"", ""Especialista IA"", ""Administrador de Servidores de Aplicaciones"", ""Aprendiz en Desarrollo de Software""]}"
semantic_role_growth_4,roles,0.54,2026-05,0.95,2026-05-28T23:29:17.619561+00:00,"{""role_title"": ""Indra Colombia LTDA"", ""role_family"": ""AI Analytics"", ""cluster"": ""AI Analytics"", ""equivalent_roles"": [""Analista Funcional de Procesos de Software"", ""Desarrollador Backend .NET Senior (hibrido)"", ""Especialista IA"", ""Administrador de Servidores de Aplicaciones"", ""Ejecutivo Comercial TI""]}"
semantic_role_growth_5,roles,0.54,2026-05,0.9326,2026-05-28T23:29:17.619561+00:00,"{""role_title"": ""Técnico de Soporte"", ""role_family"": ""BI & Visualization"", ""cluster"": ""BI & Visualization"", ""equivalent_roles"": [""CS3 SAS"", ""Ingeniero Preventa - Administrador de Plataforma"", ""Administrador de Bases de Datos (DBA)"", ""Ingeniero de Soporte Infraestructura Junior"", ""Administrador Linux"", ""Venta Equipos SAS"", ""Administrador de Servidores de Aplicaciones"", ""Aprendiz en Desarrollo de Software""]}"
curriculum_gap_severity,curriculum,18.0,2026-05,0.9,2026-05-28T23:29:17.619561+00:00,"{""covered"": 16, ""partial"": 5, ""missing"": 8, ""emerging"": 10}"
recommendation_coverage,recommendations,0.5385,2026-05,0.88,2026-05-28T23:29:17.619561+00:00,"{""covered"": 16, ""partial"": 5, ""missing"": 8, ""emerging"": 10}"
ai_adoption_trend,company,0.3024,2026-05,0.84,2026-05-28T23:29:17.619561+00:00,"{""average_ai_adoption_score"": 0.3024}"
bi_maturity_trend,company,0.1776,2026-05,0.84,2026-05-28T23:29:17.619561+00:00,"{""average_bi_maturity_score"": 0.1776}"
cloud_adoption_trend,company,0.1821,2026-05,0.84,2026-05-28T23:29:17.619561+00:00,"{""average_cloud_maturity_score"": 0.1821}"
labor_market_velocity,market,0.2532,2026-05,0.8,2026-05-28T23:29:17.619561+00:00,"{""forecast_count"": 44}"
