recommendation_type,target_role,target_company,recommended_skills,market_alignment_score,top_companies,recommendation_payload,recommendation_reasoning,recommendation_confidence,recommendation_evidence
student,Visual Analytics y Big Data,market,"[""APIs"", ""Software/Data Platform""]",0.75,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""student"", ""target_role"": ""Visual Analytics y Big Data"", ""target_company"": ""market"", ""recommended_skills"": [""APIs"", ""Software/Data Platform""], ""market_alignment_score"": 0.75, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform.""], ""why_missing"": [""Skill relacionada semanticamente con competencias o herramientas curriculares.""], ""top_evidence"": {""portal_taxonomy"": 3}}",Fortalecer APIs porque aparece como partial y demanda mercado 0.3.,0.9125,"{""gap_skill"": ""APIs"", ""cluster_name"": ""Software/Data Platform"", ""coverage_status"": ""partial"", ""evidence_sources"": {""portal_taxonomy"": 3}, ""roles"": [], ""why_recommended"": [""Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform.""], ""why_missing"": [""Skill relacionada semanticamente con competencias o herramientas curriculares.""], ""top_evidence"": {""portal_taxonomy"": 3}, ""metric_period"": ""2026-05""}"
student,Visual Analytics y Big Data,market,"[""comunicacion"", ""Enterprise Analytics""]",0.35,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""student"", ""target_role"": ""Visual Analytics y Big Data"", ""target_company"": ""market"", ""recommended_skills"": [""comunicacion"", ""Enterprise Analytics""], ""market_alignment_score"": 0.35, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 5}}",Fortalecer comunicacion porque aparece como partial y demanda mercado 0.5.,0.7725,"{""gap_skill"": ""comunicacion"", ""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_sources"": {""portal_taxonomy"": 5}, ""roles"": [], ""why_recommended"": [""Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 5}, ""metric_period"": ""2026-05""}"
student,Visual Analytics y Big Data,market,"[""trabajo en equipo"", ""Enterprise Analytics""]",0.35,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""student"", ""target_role"": ""Visual Analytics y Big Data"", ""target_company"": ""market"", ""recommended_skills"": [""trabajo en equipo"", ""Enterprise Analytics""], ""market_alignment_score"": 0.35, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 4}}",Fortalecer trabajo en equipo porque aparece como partial y demanda mercado 0.4.,0.7725,"{""gap_skill"": ""trabajo en equipo"", ""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_sources"": {""portal_taxonomy"": 4}, ""roles"": [], ""why_recommended"": [""Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 4}, ""metric_period"": ""2026-05""}"
student,Visual Analytics y Big Data,market,"[""resolucion de problemas"", ""Enterprise Analytics""]",0.35,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""student"", ""target_role"": ""Visual Analytics y Big Data"", ""target_company"": ""market"", ""recommended_skills"": [""resolucion de problemas"", ""Enterprise Analytics""], ""market_alignment_score"": 0.35, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 3}}",Fortalecer resolucion de problemas porque aparece como partial y demanda mercado 0.3.,0.7725,"{""gap_skill"": ""resolucion de problemas"", ""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_sources"": {""portal_taxonomy"": 3}, ""roles"": [], ""why_recommended"": [""Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 3}, ""metric_period"": ""2026-05""}"
student,Visual Analytics y Big Data,market,"[""Oracle"", ""Enterprise Analytics""]",0.35,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""student"", ""target_role"": ""Visual Analytics y Big Data"", ""target_company"": ""market"", ""recommended_skills"": [""Oracle"", ""Enterprise Analytics""], ""market_alignment_score"": 0.35, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar Oracle mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 3}}",Fortalecer Oracle porque aparece como partial y demanda mercado 0.3.,0.7725,"{""gap_skill"": ""Oracle"", ""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_sources"": {""portal_taxonomy"": 3}, ""roles"": [], ""why_recommended"": [""Profundizar Oracle mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 3}, ""metric_period"": ""2026-05""}"
student,Visual Analytics y Big Data,market,"[""Agile"", ""Enterprise Analytics""]",0.35,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""student"", ""target_role"": ""Visual Analytics y Big Data"", ""target_company"": ""market"", ""recommended_skills"": [""Agile"", ""Enterprise Analytics""], ""market_alignment_score"": 0.35, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar Agile mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 3}}",Fortalecer Agile porque aparece como partial y demanda mercado 0.3.,0.7725,"{""gap_skill"": ""Agile"", ""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_sources"": {""portal_taxonomy"": 3}, ""roles"": [], ""why_recommended"": [""Profundizar Agile mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo.""], ""top_evidence"": {""portal_taxonomy"": 3}, ""metric_period"": ""2026-05""}"
curriculum,Especializacion en Visual Analytics y Big Data,curriculum,"[""comunicacion""]",0.5,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""curriculum"", ""target_role"": ""Especializacion en Visual Analytics y Big Data"", ""target_company"": ""curriculum"", ""recommended_skills"": [""comunicacion""], ""market_alignment_score"": 0.5, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""comunicacion""], ""top_evidence"": {""skill"": ""comunicacion"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.5, ""roles"": []}}",Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics.,0.775,"{""update"": {""skill"": ""comunicacion"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.5, ""roles"": []}, ""why_recommended"": [""Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""comunicacion""], ""top_evidence"": {""skill"": ""comunicacion"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.5, ""roles"": []}, ""metric_period"": ""2026-05""}"
curriculum,Especializacion en Visual Analytics y Big Data,curriculum,"[""trabajo en equipo""]",0.4,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""curriculum"", ""target_role"": ""Especializacion en Visual Analytics y Big Data"", ""target_company"": ""curriculum"", ""recommended_skills"": [""trabajo en equipo""], ""market_alignment_score"": 0.4, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""trabajo en equipo""], ""top_evidence"": {""skill"": ""trabajo en equipo"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.4, ""roles"": []}}",Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics.,0.74,"{""update"": {""skill"": ""trabajo en equipo"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.4, ""roles"": []}, ""why_recommended"": [""Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""trabajo en equipo""], ""top_evidence"": {""skill"": ""trabajo en equipo"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.4, ""roles"": []}, ""metric_period"": ""2026-05""}"
curriculum,Especializacion en Visual Analytics y Big Data,curriculum,"[""APIs""]",0.3,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""curriculum"", ""target_role"": ""Especializacion en Visual Analytics y Big Data"", ""target_company"": ""curriculum"", ""recommended_skills"": [""APIs""], ""market_alignment_score"": 0.3, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform.""], ""why_missing"": [""APIs""], ""top_evidence"": {""skill"": ""APIs"", ""cluster_name"": ""Software/Data Platform"", ""priority"": ""media"", ""action"": ""Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform."", ""evidence_weight"": 0.3, ""roles"": []}}",Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform.,0.705,"{""update"": {""skill"": ""APIs"", ""cluster_name"": ""Software/Data Platform"", ""priority"": ""media"", ""action"": ""Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform."", ""evidence_weight"": 0.3, ""roles"": []}, ""why_recommended"": [""Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform.""], ""why_missing"": [""APIs""], ""top_evidence"": {""skill"": ""APIs"", ""cluster_name"": ""Software/Data Platform"", ""priority"": ""media"", ""action"": ""Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform."", ""evidence_weight"": 0.3, ""roles"": []}, ""metric_period"": ""2026-05""}"
curriculum,Especializacion en Visual Analytics y Big Data,curriculum,"[""resolucion de problemas""]",0.3,"[""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""]","{""recommendation_type"": ""curriculum"", ""target_role"": ""Especializacion en Visual Analytics y Big Data"", ""target_company"": ""curriculum"", ""recommended_skills"": [""resolucion de problemas""], ""market_alignment_score"": 0.3, ""top_companies"": [""SETI"", ""Importante empresa Colombiana"", ""Venta Equipos"", ""Indra"", ""TICXAR""], ""why_recommended"": [""Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""resolucion de problemas""], ""top_evidence"": {""skill"": ""resolucion de problemas"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.3, ""roles"": []}}",Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics.,0.705,"{""update"": {""skill"": ""resolucion de problemas"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.3, ""roles"": []}, ""why_recommended"": [""Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics.""], ""why_missing"": [""resolucion de problemas""], ""top_evidence"": {""skill"": ""resolucion de problemas"", ""cluster_name"": ""Enterprise Analytics"", ""priority"": ""media"", ""action"": ""Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics."", ""evidence_weight"": 0.3, ""roles"": []}, ""metric_period"": ""2026-05""}"
