nombre_ies,codigo_ies,ies_padre,registro_unico,codigo_snies_programa,nombre_programa,estado_programa,nivel_academico,modalidad,reconocimiento_ministerio,municipio,departamento,metodologia,area_conocimiento,nucleo_basico_conocimiento,creditos,duracion,periodicidad_admision,fecha_registro,fecha_vencimiento,url_detalle,raw_html,timestamp_extraccion,fuente
,,,nan,104809.0,"nombre_programa ADMINISTRACIÓN AGROINDUSTRIAL nombre_programa N nombre_programa Boyacá nombre_programa Tunja Name: 1, dtype: object",Activo,Pregrado,Virtual,Registro calificado,,,,"Agronomía, veterinaria y afines",Agronomía,1600,10.0,Semestral,2023-07-27,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:45:17.490285+00:00,HECAA - Ministerio de Educación Nacional
,,,nan,103676.0,"nombre_programa ADMINISTRACIÓN COMERCIAL Y FINANCIERA nombre_programa N nombre_programa Boyacá nombre_programa Tunja Name: 2, dtype: object",Activo,Pregrado,Virtual,Registro calificado,,,,"Economía, administración, contaduría y afines",Administración,1600,10.0,Semestral,2014-09-07,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:45:17.492594+00:00,HECAA - Ministerio de Educación Nacional
,,,nan,103672.0,"nombre_programa ADMINISTRACIÓN DE SERVICIOS DE SALUD nombre_programa N nombre_programa Boyacá nombre_programa Tunja Name: 3, dtype: object",Activo,Pregrado,Virtual,Registro calificado,,,,"Economía, administración, contaduría y afines",Administración,1600,10.0,Semestral,2014-09-07,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:45:17.494410+00:00,HECAA - Ministerio de Educación Nacional
