nombre_ies,codigo_ies,ies_padre,registro_unico,codigo_snies_programa,nombre_programa,estado_programa,nivel_academico,modalidad,reconocimiento_ministerio,municipio,departamento,metodologia,area_conocimiento,nucleo_basico_conocimiento,creditos,duracion,periodicidad_admision,fecha_registro,fecha_vencimiento,url_detalle,raw_html,timestamp_extraccion,fuente
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,104809,ADMINISTRACIÓN AGROINDUSTRIAL,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Agronomía, veterinaria y afines",Agronomía,160,10,Semestral,2023-07-27,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:46:39.085182+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,103676,ADMINISTRACIÓN COMERCIAL Y FINANCIERA,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,160,10,Semestral,2014-09-07,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:46:39.085356+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,103672,ADMINISTRACIÓN DE SERVICIOS DE SALUD,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,160,10,Semestral,2014-09-07,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:46:39.085506+00:00,HECAA - Ministerio de Educación Nacional
