nombre_ies,codigo_ies,ies_padre,registro_unico,codigo_snies_programa,nombre_programa,estado_programa,nivel_academico,modalidad,reconocimiento_ministerio,municipio,departamento,metodologia,area_conocimiento,nucleo_basico_conocimiento,creditos,duracion,periodicidad_admision,fecha_registro,fecha_vencimiento,url_detalle,raw_html,timestamp_extraccion,fuente
Código IES IES padre Registro único Código SNIES programa Nombre programa Estado programa Nivel académico Modalidad Reconocimiento del Ministerio,1714,1714,-,111080,Todos SI (16) No Aplica (2478),Todos Activo (2199) Inactivo (295),Todos Pregrado (1129) Posgrado (1365),Todos A distancia (0) A distancia-Dual (0) Dual (0) Híbrida (A distancia-Virtual) (0) Híbrida (Dual-Virtual) (0) Híbrida (Presencial-Virtual) (0) Presencial (0) Presencial-A distancia (0) Presencial-A distancia-Dual (0) Presencial-Dual (0) Presencial-Virtual (0) Presencial-Virtual-A distancia (0) Presencial-Virtual-A distancia-Dual (0) Presencial-Virtual-Dual (0) Sin Metodología Definida (0) Virtual (2494) Virtual-A distancia (0) Virtual-A distancia-Dual (0) Virtual-Dual (0),Todos Acreditación de alta calidad (34) Acreditación previa (0) n/a (143) Registro calificado (2317),Todos Todos,"Todos Amazonas Antioquia Arauca Archipiélago de San Andrés, Providencia y Santa Catalina Atlántico Bogotá, D.C. Bolívar Boyacá Caldas Caquetá Casanare Cauca Cesar Chocó Córdoba Cundinamarca Guainía Guaviare Huila La Guajira Magdalena Meta Nariño No aplica Norte de Santander Putumayo Quindío Risaralda Santander Sin información Sin información Sucre Tolima Valle del Cauca Vaupés Vichada Todos",Modalidad Todos A distancia (0) A distancia-Dual (0) Dual (0) Híbrida (A distancia-Virtual) (0) Híbrida (Dual-Virtual) (0) Híbrida (Presencial-Virtual) (0) Presencial (0) Presencial-A distancia (0) Presencial-A distancia-Dual (0) Presencial-Dual (0) Presencial-Virtual (0) Presencial-Virtual-A distancia (0) Presencial-Virtual-A distancia-Dual (0) Presencial-Virtual-Dual (0) Virtual (2494) Virtual-A distancia (0) Virtual-A distancia-Dual (0) Virtual-Dual (0),,,,,,,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:40:50.796059+00:00,HECAA - Ministerio de Educación Nacional
Código IES IES padre Registro único Código SNIES programa Nombre programa Estado programa Nivel académico Modalidad Reconocimiento del Ministerio,1714,1714,-,111073,Todos SI (16) No Aplica (2478),Todos Activo (2199) Inactivo (295),Todos Pregrado (1129) Posgrado (1365),Todos A distancia (0) A distancia-Dual (0) Dual (0) Híbrida (A distancia-Virtual) (0) Híbrida (Dual-Virtual) (0) Híbrida (Presencial-Virtual) (0) Presencial (0) Presencial-A distancia (0) Presencial-A distancia-Dual (0) Presencial-Dual (0) Presencial-Virtual (0) Presencial-Virtual-A distancia (0) Presencial-Virtual-A distancia-Dual (0) Presencial-Virtual-Dual (0) Sin Metodología Definida (0) Virtual (2494) Virtual-A distancia (0) Virtual-A distancia-Dual (0) Virtual-Dual (0),Todos Acreditación de alta calidad (34) Acreditación previa (0) n/a (143) Registro calificado (2317),Todos Todos,"Todos Amazonas Antioquia Arauca Archipiélago de San Andrés, Providencia y Santa Catalina Atlántico Bogotá, D.C. Bolívar Boyacá Caldas Caquetá Casanare Cauca Cesar Chocó Córdoba Cundinamarca Guainía Guaviare Huila La Guajira Magdalena Meta Nariño No aplica Norte de Santander Putumayo Quindío Risaralda Santander Sin información Sin información Sucre Tolima Valle del Cauca Vaupés Vichada Todos",Modalidad Todos A distancia (0) A distancia-Dual (0) Dual (0) Híbrida (A distancia-Virtual) (0) Híbrida (Dual-Virtual) (0) Híbrida (Presencial-Virtual) (0) Presencial (0) Presencial-A distancia (0) Presencial-A distancia-Dual (0) Presencial-Dual (0) Presencial-Virtual (0) Presencial-Virtual-A distancia (0) Presencial-Virtual-A distancia-Dual (0) Presencial-Virtual-Dual (0) Virtual (2494) Virtual-A distancia (0) Virtual-A distancia-Dual (0) Virtual-Dual (0),,,,,,,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:40:52.151136+00:00,HECAA - Ministerio de Educación Nacional
Código IES IES padre Registro único Código SNIES programa Nombre programa Estado programa Nivel académico Modalidad Reconocimiento del Ministerio,1714,1714,-,110001,Todos SI (16) No Aplica (2478),Todos Activo (2199) Inactivo (295),Todos Pregrado (1129) Posgrado (1365),Todos A distancia (0) A distancia-Dual (0) Dual (0) Híbrida (A distancia-Virtual) (0) Híbrida (Dual-Virtual) (0) Híbrida (Presencial-Virtual) (0) Presencial (0) Presencial-A distancia (0) Presencial-A distancia-Dual (0) Presencial-Dual (0) Presencial-Virtual (0) Presencial-Virtual-A distancia (0) Presencial-Virtual-A distancia-Dual (0) Presencial-Virtual-Dual (0) Sin Metodología Definida (0) Virtual (2494) Virtual-A distancia (0) Virtual-A distancia-Dual (0) Virtual-Dual (0),Todos Acreditación de alta calidad (34) Acreditación previa (0) n/a (143) Registro calificado (2317),Todos Todos,"Todos Amazonas Antioquia Arauca Archipiélago de San Andrés, Providencia y Santa Catalina Atlántico Bogotá, D.C. Bolívar Boyacá Caldas Caquetá Casanare Cauca Cesar Chocó Córdoba Cundinamarca Guainía Guaviare Huila La Guajira Magdalena Meta Nariño No aplica Norte de Santander Putumayo Quindío Risaralda Santander Sin información Sin información Sucre Tolima Valle del Cauca Vaupés Vichada Todos",Modalidad Todos A distancia (0) A distancia-Dual (0) Dual (0) Híbrida (A distancia-Virtual) (0) Híbrida (Dual-Virtual) (0) Híbrida (Presencial-Virtual) (0) Presencial (0) Presencial-A distancia (0) Presencial-A distancia-Dual (0) Presencial-Dual (0) Presencial-Virtual (0) Presencial-Virtual-A distancia (0) Presencial-Virtual-A distancia-Dual (0) Presencial-Virtual-Dual (0) Virtual (2494) Virtual-A distancia (0) Virtual-A distancia-Dual (0) Virtual-Dual (0),,,,,,,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:40:53.323880+00:00,HECAA - Ministerio de Educación Nacional
