nombre_ies,codigo_ies,ies_padre,registro_unico,codigo_snies_programa,nombre_programa,estado_programa,nivel_academico,modalidad,reconocimiento_ministerio,municipio,departamento,metodologia,area_conocimiento,nucleo_basico_conocimiento,creditos,duracion,periodicidad_admision,fecha_registro,fecha_vencimiento,url_detalle,raw_html,timestamp_extraccion,fuente
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1714,1714,115,111080,ESPECIALIZACION EN GERENCIA INTEGRAL DE SERVICIOS DE SALUD,Activo,Posgrado,Virtual,Registro calificado,,,,,,,,,,,#,,2026-05-16T19:40:22.956932+00:00,HECAA - Ministerio de Educación Nacional
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1714,1714,108,111073,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Activo,Posgrado,Virtual,Registro calificado,,,,,,,,,,,#,,2026-05-16T19:40:23.302369+00:00,HECAA - Ministerio de Educación Nacional
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1714,1714,,110001,ESPECIALIZACIÓN EN GOBERNANZA Y DESARROLLO TERRITORIAL,Activo,Posgrado,Virtual,Registro calificado,,,,,,,,,,,#,,2026-05-16T19:40:23.545576+00:00,HECAA - Ministerio de Educación Nacional
